i,U,K,Px,Py,Pz,Ne
165,-57513298.698456906,29397032.499472294,-5468.214184724109,8545.556746664075,-4559.369171129765,20.0
166,-57504392.300779134,29393758.360329337,-5465.857917199993,8546.610499534343,-4559.781640170098,20.0
167,-57495948.78461439,29391983.637347892,-5461.826899807934,8549.851975051119,-4561.751257675955,20.0
168,-57487448.295067035,29387404.329927497,-5460.699701948484,8553.722393880313,-4560.994371540445,20.0
169,-57478701.439165734,29384629.10070762,-5461.469893582294,8560.658969551969,-4559.789153457923,20.0
170,-57470216.56732602,29384282.78790496,-5461.861526761218,8562.559437812093,-4557.829541688369,20.0
171,-57461422.34931238,29380425.759901248,-5460.127725589538,8560.43848867187,-4555.666230266767,20.0
172,-57452700.26298514,29376991.09044126,-5455.939712971849,8559.624562282965,-4555.07225563127,20.0
173,-57443753.15539031,29376607.81353295,-5454.739146858254,8558.946666785325,-4553.997248017355,20.0
174,-57434221.64450219,29370681.85574333,-5454.00167596626,8561.26639868663,-4550.727554690075,20.0
175,-57424388.32705595,29367675.766620163,-5449.587828563452,8564.633461763058,-4549.420522530691,20.0
176,-57413921.64276687,29373752.543906707,-5445.421924585539,8565.218639021408,-4553.993298559701,20.0
177,-57402353.72921527,29385794.705775175,-5444.208831321937,8565.52116277292,-4556.585199846071,20.0
178,-57390125.348101564,29376784.710554168,-5444.709945901877,8567.631129610678,-4556.655505136704,20.0
179,-57377458.16622924,29412963.85178392,-5444.003081363286,8569.782638945655,-4555.905271421767,20.0
180,-57363826.159179196,29358071.804146033,-5441.8756745666915,8572.633111642932,-4553.49114457703,22.0
181,-57349511.92830037,29348294.81104438,-5439.711239440769,8574.612510280494,-4552.985654715442,22.0
182,-57336071.875201344,29339571.69009363,-5439.29291466198,8574.816982070319,-4552.798594947426,22.0
183,-57322349.53871238,29332654.125942968,-5439.95620748004,8574.187181107913,-4553.526209499628,22.0
184,-57309309.37264342,29329188.89643226,-5439.957825789895,8576.836896445435,-4555.182078121516,22.0
185,-57297337.97397994,29330526.826802365,-5440.160129822047,8581.696200665661,-4553.010975489863,22.0
186,-57285928.824614786,29327586.966233984,-5438.116305093805,8583.069065234382,-4550.454765969766,22.0
187,-57275281.38785219,29326602.94576307,-5435.252388819946,8582.179626914005,-4548.27781478293,22.0
188,-57266012.89091308,29339696.780226123,-5435.394835376226,8581.131247022338,-4545.831168921201,22.0
189,-57257313.00813904,29344273.50337486,-5438.776144307372,8581.463936973005,-4545.313131100631,23.0
190,-57250132.73206703,29345743.845716856,-5443.3572983017275,8581.23720360459,-4544.868633329099,23.0
191,-57244485.08858413,29345335.83411948,-5446.997503901418,8579.027148341236,-4543.026918291078,25.0
192,-57237977.73854956,29347159.52823404,-5449.031935044207,8576.102076448202,-4540.577474415425,25.0
193,-57233579.44522762,29347501.78713187,-5448.534994613197,8573.934960771594,-4537.786945040888,25.0
194,-57230497.98196515,29347851.90830611,-5447.848517551457,8574.670366681383,-4535.625459870339,25.0
195,-57228263.85723107,29347717.53573915,-5448.139512956729,8574.70731361421,-4536.37919375311,25.0
196,-57226634.931498654,29353696.52951604,-5449.012911401599,8572.451590957471,-4536.9846726529895,25.0
197,-57225288.527323365,29363340.144531894,-5447.354032063816,8572.017807191229,-4536.270108462631,25.0
198,-57223839.818354785,29371457.211430155,-5442.795406447163,8572.221582694872,-4538.999641169935,25.0
199,-57222124.50573168,29383589.03640021,-5441.574732045935,8571.00374647757,-4539.946066006629,25.0
200,-57219689.3500634,29399292.79684205,-5443.5846141556995,8569.79682919639,-4537.882952949846,25.0
