i,U,K,Px,Py,Pz,Ne
155,-57620208.43381707,29476543.788006905,-5305.68895327587,8574.259819912011,-4676.433495417602,17.0
156,-57615258.6735498,29493015.80820756,-5305.688953275846,8574.259819912015,-4676.433495417659,17.0
157,-57610687.74005832,29503077.858895995,-5305.688953275915,8574.259819911951,-4676.433495417635,17.0
158,-57605474.19674756,29531052.592713255,-5305.688953275846,8574.259819911931,-4676.433495417608,17.0
159,-57599861.25196881,29533612.040956147,-5305.688953275825,8574.259819911951,-4676.433495417668,17.0
160,-57593008.55256687,29544617.622044828,-5305.6889532758005,8574.259819911887,-4676.433495417671,17.0
161,-57585850.829401456,29544286.286998317,-5305.688953275862,8574.25981991195,-4676.433495417627,17.0
162,-57578665.23385587,29540564.264379777,-5305.688953275861,8574.259819912035,-4676.433495417634,17.0
163,-57571133.833366536,29539610.335068393,-5305.688953275896,8574.259819911882,-4676.433495417671,17.0
164,-57562980.19161429,29540446.33864964,-5305.688953275886,8574.259819912006,-4676.433495417641,17.0
165,-57554179.50266635,29541013.601491943,-5305.688953275794,8574.259819911958,-4676.433495417669,17.0
166,-57544898.329205364,29541290.27053444,-5305.688953275893,8574.259819911911,-4676.433495417612,17.0
167,-57535260.959306896,29535929.485117093,-5305.6889532758605,8574.259819911851,-4676.433495417644,17.0
168,-57524962.987949684,29530992.81603847,-5305.688953275866,8574.259819911826,-4676.433495417633,17.0
169,-57515011.657911524,29537774.95779395,-5305.68895327586,8574.259819911864,-4676.43349541765,17.0
170,-57505792.60012349,29572035.25717884,-5305.688953275922,8574.259819911924,-4676.433495417724,17.0
171,-57496139.34603343,29568953.404534947,-5305.688953275731,8574.25981991193,-4676.433495417674,17.0
172,-57487249.80967012,29565070.188487466,-5305.6889532758305,8574.259819912015,-4676.433495417624,17.0
173,-57478794.7835794,29568006.903943937,-5305.688953275831,8574.25981991192,-4676.4334954175765,17.0
174,-57470678.00828449,29576157.153066073,-5305.68895327587,8574.259819911867,-4676.433495417648,17.0
175,-57462657.47568306,29587193.559354678,-5305.688953275888,8574.259819911984,-4676.433495417592,17.0
176,-57454335.36817671,29608745.644932754,-5305.688953275842,8574.259819912008,-4676.433495417646,17.0
177,-57446008.05337391,29603183.531306576,-5305.688953275861,8574.25981991187,-4676.433495417599,17.0
178,-57437826.282841824,29598312.16179321,-5305.688953275838,8574.25981991198,-4676.433495417651,17.0
179,-57429846.61104116,29594957.411531955,-5305.688953275906,8574.259819911884,-4676.4334954176575,17.0
180,-57421723.47771558,29593314.500179917,-5305.688953275885,8574.25981991189,-4676.43349541757,17.0
181,-57413841.44251254,29593695.186610103,-5305.688953275882,8574.259819911997,-4676.433495417618,17.0
182,-57405695.39920891,29592175.694082763,-5305.688953275876,8574.259819911951,-4676.433495417567,17.0
183,-57397449.71163346,29591584.00560887,-5305.688953275848,8574.259819911906,-4676.433495417605,17.0
184,-57389750.28227891,29586491.84369199,-5305.688953275861,8574.259819911911,-4676.4334954175865,17.0
185,-57381916.43653258,29583183.616006956,-5305.688953275851,8574.259819911887,-4676.4334954176065,17.0
186,-57374346.46709345,29579603.94516354,-5305.6889532758705,8574.25981991202,-4676.433495417612,17.0
187,-57366548.44655107,29578496.74569637,-5305.688953275819,8574.259819911986,-4676.433495417608,17.0
188,-57358447.55954855,29576828.22901256,-5305.688953275838,8574.259819911838,-4676.433495417695,17.0
189,-57350133.26463218,29574074.206611697,-5305.688953275862,8574.259819911895,-4676.433495417611,17.0
190,-57341734.919295006,29574982.643075865,-5305.688953275835,8574.259819912051,-4676.433495417663,17.0
191,-57332538.61677163,29584146.522343397,-5305.688953275825,8574.259819912028,-4676.433495417677,17.0
192,-57322641.77647156,29577084.58366483,-5305.6889532758305,8574.259819911973,-4676.433495417662,17.0
193,-57312144.7136591,29569049.126220126,-5305.688953275848,8574.259819911978,-4676.433495417648,17.0
194,-57301790.63447552,29565074.4596005,-5305.688953275872,8574.25981991194,-4676.43349541759,17.0
195,-57291226.788481556,29568699.73425036,-5305.688953275886,8574.259819911951,-4676.433495417683,17.0
196,-57279684.83617685,29561388.87775239,-5305.688953275879,8574.259819911893,-4676.433495417639,17.0
197,-57268564.47479445,29558051.8148253,-5305.688953275775,8574.25981991201,-4676.433495417619,17.0
198,-57256553.14264098,29550230.81584363,-5305.688953275888,8574.259819911966,-4676.433495417623,17.0
199,-57244052.22018405,29544496.499246813,-5305.688953275785,8574.259819911966,-4676.433495417631,17.0
200,-57230763.52898441,29538820.690422144,-5305.688953275809,8574.259819912008,-4676.433495417598,17.0
