i,U,K,Px,Py,Pz,Ne
177,-57341473.35464611,43628070.42149045,-5305.688953275815,8574.259819911953,-4676.433495417602,0.0
178,-57332490.48365181,44120403.43334663,-5305.688953275883,8574.259819911878,-4676.433495417596,0.0
179,-57320812.50746757,45648106.62832769,-5305.688953275957,8574.25981991201,-4676.4334954177,0.0
180,-57310448.125456,45809291.84907771,-5305.68895327582,8574.259819912031,-4676.433495417598,0.0
181,-57299385.57610955,46314281.19233259,-5305.688953275812,8574.259819911927,-4676.433495417666,0.0
182,-57288812.59255107,46311908.118609585,-5305.688953275852,8574.259819912,-4676.433495417627,0.0
183,-57277620.82071405,46312163.59641518,-5305.688953275889,8574.259819911886,-4676.43349541758,0.0
184,-57266695.36759595,46307306.895362005,-5305.688953275865,8574.259819911927,-4676.433495417614,0.0
185,-57255174.318703264,46304329.66375223,-5305.688953275891,8574.259819911913,-4676.433495417555,0.0
186,-57244043.84238562,46297129.17359482,-5305.688953275889,8574.259819911926,-4676.433495417642,0.0
187,-57231431.09554221,46295330.3954404,-5305.688953275787,8574.259819911893,-4676.433495417596,0.0
188,-57218641.77517157,46285636.34542038,-5305.688953275749,8574.259819911964,-4676.4334954176165,0.0
189,-57204813.399406046,46275709.964188464,-5305.68895327595,8574.259819911855,-4676.4334954176165,0.0
190,-57190083.825264975,46269452.69081994,-5305.688953275842,8574.25981991197,-4676.433495417586,0.0
191,-57174823.86627036,46266469.93551161,-5305.688953275834,8574.259819911922,-4676.433495417592,0.0
192,-57159219.60705262,46271595.3143089,-5305.688953275807,8574.259819912015,-4676.433495417598,0.0
193,-57142436.79294484,46312630.53595766,-5305.6889532758805,8574.259819911951,-4676.433495417589,0.0
194,-57125756.40811592,46304699.711585365,-5305.688953275833,8574.259819912022,-4676.433495417575,0.0
195,-57108291.930089466,46318203.785256155,-5305.688953275951,8574.259819912033,-4676.433495417564,0.0
196,-57090042.886622466,46422376.14852445,-5305.688953275791,8574.259819911998,-4676.433495417605,0.0
197,-57071098.44229339,46535516.50866264,-5305.688953275876,8574.259819911911,-4676.4334954176065,0.0
198,-57051561.80955361,46522031.0710494,-5305.688953275913,8574.259819911978,-4676.433495417594,0.0
199,-57031871.73361363,46507839.48707294,-5305.688953275973,8574.259819911924,-4676.433495417596,0.0
200,-57012749.65064748,46493527.251978636,-5305.688953276011,8574.259819911933,-4676.433495417603,0.0
