i,U,K,Px,Py,Pz,Ne
109,-57961979.43701267,29432806.53727237,-5305.688953275798,8574.259819911955,-4676.433495417552,17.0
110,-57944307.29034877,29426614.88701732,-5305.688953275808,8574.25981991192,-4676.433495417633,17.0
111,-57926635.09650455,29422064.611210313,-5305.688953275827,8574.259819911984,-4676.433495417647,18.0
112,-57909139.30655043,29411023.29120911,-5305.688953275743,8574.25981991197,-4676.433495417589,18.0
113,-57891894.099189475,29407812.72495248,-5305.688953275801,8574.259819911995,-4676.433495417674,18.0
114,-57875283.98804316,29394751.675222676,-5305.68895327586,8574.259819912,-4676.433495417608,18.0
115,-57858268.71058029,29397872.506570913,-5305.688953275764,8574.259819911986,-4676.4334954175765,18.0
116,-57840783.37623028,29370828.97400075,-5305.688953275726,8574.259819911907,-4676.433495417609,20.0
117,-57823687.37013165,29357864.1130929,-5305.688953275873,8574.259819911898,-4676.433495417582,20.0
118,-57807122.1619256,29347172.053964015,-5305.6889532758705,8574.259819911993,-4676.4334954176675,20.0
119,-57791160.966274515,29362701.416372553,-5305.688953275805,8574.25981991197,-4676.433495417584,19.0
120,-57775267.63423169,29353002.98021071,-5305.688953275817,8574.259819911962,-4676.433495417615,19.0
121,-57759097.048503466,29342684.574076314,-5305.68895327588,8574.259819912028,-4676.433495417663,19.0
122,-57743752.383733675,29330510.667540573,-5305.6889532758405,8574.259819911862,-4676.433495417606,19.0
123,-57729174.489711985,29319859.720744565,-5305.688953275783,8574.259819911924,-4676.4334954176065,19.0
124,-57715167.73116195,29309668.568456035,-5305.688953275885,8574.259819911957,-4676.43349541765,19.0
125,-57701026.5979214,29303769.839461643,-5305.688953275823,8574.25981991191,-4676.4334954176375,19.0
126,-57687120.026971616,29301189.583072543,-5305.6889532757505,8574.259819911851,-4676.433495417596,19.0
127,-57674673.50867272,29311843.062906045,-5305.688953275837,8574.259819911984,-4676.433495417583,20.0
128,-57659720.887725994,29286809.78773623,-5305.688953275846,8574.25981991196,-4676.433495417637,21.0
129,-57644631.99782163,29276071.97179194,-5305.688953275851,8574.2598199119,-4676.433495417555,21.0
130,-57629530.13474956,29264668.02710152,-5305.6889532757805,8574.259819911973,-4676.433495417637,21.0
131,-57614127.0907642,29255102.02598681,-5305.688953275868,8574.259819911937,-4676.433495417603,21.0
132,-57599757.796201885,29245044.530806378,-5305.688953275797,8574.259819911873,-4676.433495417583,21.0
133,-57584964.51968971,29238189.33464311,-5305.68895327576,8574.259819911957,-4676.433495417605,21.0
134,-57570608.10755778,29239247.132494904,-5305.688953275801,8574.259819911915,-4676.433495417568,21.0
135,-57556687.148140386,29235602.15639046,-5305.688953275779,8574.259819911918,-4676.433495417647,22.0
136,-57544146.33851185,29225316.543502737,-5305.68895327576,8574.259819911935,-4676.433495417579,22.0
137,-57533018.561417714,29219344.262417894,-5305.688953275843,8574.259819911911,-4676.433495417632,22.0
138,-57521965.57963957,29215774.238179505,-5305.6889532758105,8574.259819911942,-4676.433495417572,22.0
139,-57513523.82832291,29211459.276708797,-5305.688953275762,8574.25981991191,-4676.433495417643,22.0
140,-57504436.27705182,29211918.923529726,-5305.688953275867,8574.259819912064,-4676.433495417573,22.0
141,-57496636.18886852,29219466.837985367,-5305.688953275845,8574.259819911915,-4676.43349541765,22.0
142,-57490241.569450565,29242267.56026642,-5305.688953275881,8574.259819911951,-4676.433495417669,22.0
143,-57485629.39970619,29242531.44856128,-5305.688953275831,8574.259819911995,-4676.433495417619,22.0
144,-57479607.47517996,29256099.09148018,-5305.688953275847,8574.25981991182,-4676.433495417653,22.0
145,-57475085.44575283,29281878.310585495,-5305.688953275844,8574.259819911944,-4676.4334954175865,22.0
146,-57472050.98706353,29283316.106723785,-5305.68895327584,8574.25981991193,-4676.4334954176375,22.0
147,-57469330.84120021,29308561.040308114,-5305.688953275757,8574.259819911882,-4676.433495417607,21.0
148,-57466936.22088039,29316336.06219962,-5305.6889532758405,8574.259819911955,-4676.433495417583,21.0
149,-57464817.44549298,29329025.66999933,-5305.688953275841,8574.259819911922,-4676.433495417622,21.0
150,-57461509.15896753,29331212.94308262,-5305.688953275797,8574.259819911924,-4676.433495417622,21.0
151,-57459071.80376437,29331688.897040572,-5305.688953275764,8574.259819911924,-4676.433495417638,21.0
152,-57456079.95078661,29335108.607070018,-5305.688953275883,8574.259819911951,-4676.433495417614,21.0
153,-57452745.66062148,29342718.5973222,-5305.688953275888,8574.25981991199,-4676.433495417618,21.0
154,-57448740.057644494,29345378.752182677,-5305.688953275783,8574.259819911756,-4676.433495417558,21.0
155,-57444896.32237848,29345823.992636785,-5305.68895327575,8574.259819911938,-4676.433495417627,21.0
156,-57440954.57410748,29345311.284669396,-5305.688953275809,8574.259819911886,-4676.433495417628,23.0
157,-57435536.971909285,29343680.06973537,-5305.688953275728,8574.259819911944,-4676.433495417634,23.0
158,-57429864.63608921,29345276.41658275,-5305.688953275795,8574.259819911938,-4676.433495417606,23.0
159,-57424125.19412876,29345503.289228797,-5305.688953275775,8574.259819911813,-4676.433495417606,23.0
160,-57416950.46300614,29363925.81690461,-5305.688953275786,8574.259819911924,-4676.433495417619,23.0
161,-57409315.89238266,29380972.235455327,-5305.688953275813,8574.259819911913,-4676.433495417601,24.0
162,-57402124.47225154,29421734.126194067,-5305.688953275761,8574.259819911853,-4676.433495417606,24.0
163,-57393950.47452908,29372456.24930258,-5305.688953275736,8574.259819911866,-4676.43349541764,28.0
164,-57383497.430555746,29365315.170235146,-5305.688953275826,8574.259819911935,-4676.4334954175665,30.0
165,-57371101.993415155,29359838.483972646,-5305.68895327578,8574.259819912037,-4676.433495417655,30.0
166,-57359719.03155073,29354499.226230938,-5305.6889532757905,8574.259819911846,-4676.433495417556,30.0
167,-57349312.79490074,29365257.95827259,-5305.688953275788,8574.25981991194,-4676.433495417616,30.0
168,-57337897.29087415,29389052.072412547,-5305.688953275742,8574.259819911777,-4676.433495417643,30.0
169,-57326989.719398275,29384340.594704084,-5305.688953275813,8574.259819911997,-4676.4334954177,30.0
170,-57316608.34661469,29387849.186719365,-5305.688953275841,8574.259819912013,-4676.433495417582,30.0
171,-57306428.357295185,29399524.488963462,-5305.688953275825,8574.259819912022,-4676.433495417524,30.0
172,-57298655.021897025,29407106.900150087,-5305.6889532758105,8574.259819911906,-4676.433495417607,30.0
173,-57290354.71323144,29408140.83334563,-5305.6889532758105,8574.259819912124,-4676.433495417612,30.0
174,-57282562.36928085,29428800.214605585,-5305.688953275779,8574.25981991194,-4676.433495417578,30.0
175,-57275609.841941245,29460705.224309508,-5305.688953275827,8574.259819911882,-4676.433495417633,30.0
176,-57267935.5680889,29457536.305399623,-5305.688953275792,8574.259819911964,-4676.433495417599,30.0
