i,U,K,Px,Py,Pz
180,-58720727.62412659,30894253.04537882,-5305.6889532758605,8574.259819911995,-4676.43349541755
181,-58714729.28596161,30903122.47519311,-5305.688953275743,8574.25981991204,-4676.433495417506
182,-58708978.25694391,30898433.39893915,-5305.688953275829,8574.259819912033,-4676.433495417499
183,-58702805.02215064,30893549.09884452,-5305.68895327582,8574.25981991202,-4676.433495417607
184,-58696792.40171394,30888607.711324025,-5305.688953275821,8574.259819911962,-4676.433495417546
185,-58690529.71462089,30883350.989394367,-5305.688953275824,8574.259819911831,-4676.433495417595
186,-58684201.489894524,30878813.036866155,-5305.688953275844,8574.259819911942,-4676.433495417614
187,-58678001.75077261,30875481.457841426,-5305.6889532758005,8574.259819912058,-4676.433495417498
188,-58671284.51232266,30870304.670268495,-5305.6889532758105,8574.259819911866,-4676.433495417493
189,-58664557.73632166,30865396.911952984,-5305.688953275851,8574.259819911953,-4676.433495417488
190,-58657742.04595519,30864431.16796073,-5305.6889532758205,8574.25981991193,-4676.433495417587
191,-58650724.31799957,30866418.908934884,-5305.688953275828,8574.259819911938,-4676.433495417628
192,-58644176.15179007,30859878.752740268,-5305.688953275895,8574.259819911937,-4676.433495417577
193,-58636955.78189338,30854367.13610338,-5305.688953275871,8574.259819911857,-4676.433495417608
194,-58630069.428482026,30848707.976701196,-5305.688953275835,8574.259819912018,-4676.433495417602
195,-58622808.39003249,30842686.474569816,-5305.688953275815,8574.259819911938,-4676.43349541762
196,-58615320.83056618,30837669.461720854,-5305.688953275887,8574.259819911902,-4676.433495417671
197,-58607870.51720311,30832261.624704152,-5305.688953275865,8574.25981991191,-4676.433495417698
198,-58600139.94701454,30827611.90627947,-5305.688953275767,8574.259819911831,-4676.43349541757
199,-58592316.1146163,30826305.73884279,-5305.688953275866,8574.259819912078,-4676.433495417504
200,-58584852.16867829,30823254.04995865,-5305.68895327585,8574.259819911904,-4676.433495417553
201,-58577070.336659074,30821272.82850252,-5305.688953275945,8574.259819911864,-4676.433495417446
202,-58569367.13629508,30819288.56165765,-5305.688953275917,8574.25981991194,-4676.433495417521
203,-58561604.76290539,30812859.432362847,-5305.688953275771,8574.25981991202,-4676.433495417659
204,-58553726.736758105,30807477.12523711,-5305.688953275792,8574.259819911991,-4676.433495417673
205,-58545789.8202317,30808786.266293947,-5305.68895327579,8574.259819911946,-4676.433495417566
206,-58537831.532922864,30809691.296704225,-5305.688953275826,8574.259819911951,-4676.433495417636
207,-58530253.12391975,30803334.3591819,-5305.688953275896,8574.259819911833,-4676.433495417596
208,-58522745.70496144,30798531.95098778,-5305.6889532758605,8574.259819912037,-4676.433495417605
209,-58514672.31007449,30795204.015151497,-5305.6889532758905,8574.259819911991,-4676.433495417502
210,-58506676.647812374,30788509.552837502,-5305.688953275888,8574.259819912044,-4676.433495417621
211,-58498788.35838826,30781620.094396763,-5305.6889532758705,8574.259819911971,-4676.43349541752
212,-58491045.521592245,30774843.060571928,-5305.688953275899,8574.259819911766,-4676.433495417643
213,-58483210.24507676,30768007.892826945,-5305.688953275927,8574.259819911947,-4676.433495417606
214,-58475342.06190004,30760963.697796945,-5305.6889532758505,8574.259819911933,-4676.433495417635
215,-58467270.746566825,30754217.851380765,-5305.688953275847,8574.259819911858,-4676.433495417666
216,-58459469.73724968,30748099.7744455,-5305.688953275854,8574.259819911964,-4676.4334954176975
217,-58451703.78509429,30742085.404493637,-5305.688953275884,8574.259819911891,-4676.433495417633
218,-58444163.0175191,30736751.71777921,-5305.6889532758805,8574.259819911842,-4676.433495417611
219,-58436462.135974236,30729907.166709382,-5305.688953275819,8574.259819911902,-4676.433495417614
220,-58428909.59757595,30724869.50706521,-5305.688953275759,8574.259819911862,-4676.433495417508
221,-58421715.190605365,30719566.07952971,-5305.688953275887,8574.259819911955,-4676.433495417599
222,-58414341.59258957,30714675.18617877,-5305.6889532757905,8574.259819911917,-4676.433495417644
223,-58407308.73112031,30717420.706594814,-5305.688953275864,8574.259819911947,-4676.433495417709
224,-58400065.1721283,30728798.00156684,-5305.6889532757805,8574.259819912086,-4676.433495417739
225,-58393215.94740026,30724318.800190315,-5305.6889532758605,8574.259819911957,-4676.433495417751
226,-58386477.81330098,30737959.299462423,-5305.68895327582,8574.259819911964,-4676.433495417713
227,-58379613.629337616,30784091.420090415,-5305.688953275806,8574.25981991176,-4676.433495417634
228,-58372665.35519978,30780363.30213423,-5305.688953275898,8574.259819911966,-4676.433495417513
229,-58365746.22799805,30775597.949139286,-5305.688953275807,8574.259819911835,-4676.433495417653
230,-58359244.10594018,30769490.398342025,-5305.688953275922,8574.259819911991,-4676.43349541763
231,-58353007.295698024,30769036.885242265,-5305.6889532758105,8574.259819911946,-4676.433495417663
232,-58346152.13704827,30775338.61451038,-5305.688953275778,8574.259819911826,-4676.433495417656
