i,U,K,Px,Py,Pz
112,-58037939.57847796,30098604.55513887,-5305.688953331168,8574.25981992918,-4676.433495394115
113,-58018822.31830082,30115580.798264526,-5305.688953330268,8574.259819929308,-4676.433495393234
114,-57999876.04365655,30102806.3579867,-5305.688953328835,8574.259819929355,-4676.433495396433
115,-57980453.74472955,30092536.58664846,-5305.688953323418,8574.25981993241,-4676.4334953976395
116,-57961602.3479508,30076660.762503147,-5305.6889533202,8574.259819934827,-4676.433495394384
117,-57942589.97869444,30061141.31492579,-5305.688953316294,8574.259819933013,-4676.43349539055
118,-57924264.4568595,30045715.48687591,-5305.688953311928,8574.259819933714,-4676.433495387629
119,-57905624.770804875,30032451.243549597,-5305.688953310781,8574.259819939707,-4676.4334953851285
120,-57886925.46151249,30027375.406553976,-5305.688953311512,8574.259819940093,-4676.433495384803
121,-57868243.40681289,30012962.843225244,-5305.688953313228,8574.259819938394,-4676.433495387459
122,-57850031.63086554,30000374.280146245,-5305.688953312268,8574.259819941442,-4676.433495386488
123,-57832101.97902089,29991606.613876928,-5305.688953308781,8574.259819941479,-4676.433495381976
124,-57814651.306307785,29990567.955461398,-5305.688953306053,8574.259819940744,-4676.433495380597
125,-57797228.40527163,29980110.255957637,-5305.688953309225,8574.259819942916,-4676.433495381786
126,-57780563.97183265,29971533.61144484,-5305.688953312122,8574.25981994686,-4676.433495378883
127,-57764457.83986214,29965513.12429224,-5305.6889533161975,8574.259819951249,-4676.433495374725
128,-57749412.082518704,29970797.34143891,-5305.688953319083,8574.259819951269,-4676.43349537312
129,-57734675.23907179,29960433.782616593,-5305.6889533156345,8574.259819947301,-4676.433495373935
130,-57720280.25175057,29948944.06335994,-5305.688953312965,8574.259819948114,-4676.433495375196
131,-57706200.49091376,29953603.74436353,-5305.688953309217,8574.25981994965,-4676.433495374558
132,-57692110.53161764,29998644.271845363,-5305.688953305304,8574.259819951549,-4676.433495375864
133,-57679014.49173993,30550077.478439897,-5305.688953320427,8574.25981995996,-4676.433495379346
134,-57664200.77011149,32182303.174857333,-5305.688953336026,8574.259819963447,-4676.433495377492
135,-57650646.80940852,32171232.520316187,-5305.68895333582,8574.259819959649,-4676.433495372904
136,-57638210.389831826,32161876.970146112,-5305.688953335823,8574.25981995702,-4676.433495371838
137,-57627113.913006656,32160018.432759903,-5305.688953334182,8574.259819957893,-4676.433495372047
138,-57616294.09893506,32176079.544533942,-5305.688953331908,8574.259819960424,-4676.4334953696325
139,-57606721.69683781,32180521.924010057,-5305.688953329755,8574.25981996189,-4676.433495368708
140,-57597141.9295727,32176552.889980007,-5305.688953327112,8574.259819961919,-4676.433495370379
141,-57588062.014499135,32172097.573795285,-5305.688953326671,8574.259819960094,-4676.433495366367
142,-57580119.597148165,32171563.129447594,-5305.688953328259,8574.259819959356,-4676.433495360956
143,-57572829.730335884,32173695.272104107,-5305.688953330435,8574.259819960991,-4676.433495359661
144,-57565995.47845284,32171422.089040026,-5305.688953334771,8574.259819958635,-4676.433495360004
145,-57559508.93022251,32168163.01827942,-5305.688953337358,8574.2598199554,-4676.43349536073
146,-57553282.33812537,32168304.184238043,-5305.688953337546,8574.259819953859,-4676.433495360611
147,-57547728.150200576,32173446.6363952,-5305.68895333845,8574.259819954483,-4676.433495359429
148,-57541911.60656382,32172900.59741323,-5305.688953339711,8574.259819956334,-4676.4334953584475
149,-57536610.010511294,32180267.89305346,-5305.688953339947,8574.259819958756,-4676.433495355463
150,-57530598.19080971,32213038.35626133,-5305.688953337361,8574.259819961339,-4676.433495352747
151,-57524386.83259171,32273552.81807635,-5305.688953337259,8574.259819960633,-4676.433495350793
152,-57517906.35171269,32410712.32425212,-5305.688953338254,8574.2598199587,-4676.433495346541
153,-57510597.82987036,32411353.57310469,-5305.688953338296,8574.259819958537,-4676.433495345965
154,-57503639.414271444,32787542.55231734,-5305.688953349588,8574.259819959581,-4676.433495344807
155,-57494750.24470458,33908698.76886685,-5305.688953362329,8574.259819959354,-4676.4334953403
156,-57486895.66300745,33909809.23820109,-5305.688953364561,8574.259819960775,-4676.433495339126
157,-57480539.52192022,33917253.713829115,-5305.688953362703,8574.259819963498,-4676.43349534094
158,-57473604.569697216,33915140.65321343,-5305.68895336462,8574.25981996202,-4676.433495341406
159,-57467181.797192186,33912103.87512252,-5305.688953367042,8574.259819961708,-4676.433495341501
160,-57461198.36127444,33910749.63899245,-5305.688953367623,8574.259819963892,-4676.433495341684
161,-57455646.0669998,33941065.36329721,-5305.688953368934,8574.259819964886,-4676.433495338287
162,-57450356.77789519,34014088.818071894,-5305.688953369036,8574.259819965999,-4676.433495334134
163,-57444592.10840146,34018730.94381354,-5305.688953370574,8574.259819967096,-4676.433495336519
164,-57439163.42414896,34017487.97564848,-5305.68895337007,8574.259819964134,-4676.433495338256
165,-57434001.9374751,34015617.83244126,-5305.688953366958,8574.259819962139,-4676.433495334774
166,-57429100.04487594,34015262.30798064,-5305.688953364282,8574.259819964027,-4676.433495333514
167,-57423624.56869567,34193577.665548846,-5305.6889533608,8574.2598199655,-4676.433495334314
168,-57417098.247837484,34711933.07507251,-5305.688953356951,8574.259819966619,-4676.4334953329035
169,-57410892.52411017,34809254.906291015,-5305.688953354493,8574.259819962737,-4676.433495334054
170,-57403966.13746539,35183493.97817526,-5305.688953354718,8574.259819963661,-4676.433495338203
171,-57395599.885821976,35400663.0554161,-5305.68895335681,8574.2598199681,-4676.433495339071
172,-57387797.74435882,35421759.5557809,-5305.688953359469,8574.259819966035,-4676.43349534279
173,-57380206.99169414,35491731.7949226,-5305.6889533602725,8574.259819965706,-4676.433495348365
174,-57371440.06312693,35565990.409682125,-5305.688953362479,8574.2598199667,-4676.433495351444
175,-57362362.878523566,35563201.564873695,-5305.688953366106,8574.259819964369,-4676.433495354791
176,-57352534.79813547,35561831.4670206,-5305.688953363198,8574.259819963963,-4676.43349535656
177,-57342744.07103784,35559848.8551006,-5305.688953357818,8574.25981996511,-4676.433495358886
178,-57332337.59862458,35591847.8197879,-5305.688953351215,8574.259819968838,-4676.433495359335
179,-57321791.523723945,35688268.31388068,-5305.688953346083,8574.259819975592,-4676.4334953544585
180,-57311025.02353806,35746944.57755973,-5305.688953346189,8574.2598199788,-4676.433495352548
181,-57299887.2471647,35868369.451441586,-5305.688953347956,8574.259819978619,-4676.433495351954
182,-57287586.86841984,35868104.14760659,-5305.68895334969,8574.259819979008,-4676.433495353049
183,-57275108.43048872,35864645.37605774,-5305.688953349719,8574.259819978974,-4676.433495356235
184,-57262742.316375285,35869586.55703112,-5305.688953348499,8574.259819976849,-4676.433495356773
185,-57249255.28814004,35886182.5642076,-5305.688953346036,8574.259819975594,-4676.433495355694
186,-57235679.179289594,35878788.65562515,-5305.68895334453,8574.25981997586,-4676.433495354606
187,-57222245.15988319,35894674.617728464,-5305.688953343199,8574.259819974179,-4676.433495355035
188,-57207667.14387931,35948927.04394505,-5305.688953343082,8574.259819973391,-4676.433495355726
189,-57191976.775057055,35937844.2919211,-5305.6889533425165,8574.259819975861,-4676.43349535615
190,-57175676.19204587,35928321.658585444,-5305.688953340413,8574.259819977828,-4676.433495355017
191,-57158573.10219343,35923939.96588067,-5305.688953339899,8574.259819976558,-4676.433495353134
192,-57141115.276172265,35923976.36716865,-5305.688953341139,8574.259819975878,-4676.4334953494545
